id_transaccion,id_cliente,monto,fecha,id_tienda,Customer_ID,edad,ingresos,ciudad,segmento_cliente,pca_1,pca_2
1,CUST-1332,253.25,2025-01-05,Tienda_5,CUST-1332,45,27521.903646128183,CDMX,Estandar,-0.45084691859070786,0.28286717269544315
2,CUST-1344,31.52,2025-06-10,Tienda_1,CUST-1344,21,27487.370558850114,CDMX,Estandar,-1.8817960180490045,-1.3188803774733895
3,CUST-1859,357.64,2025-05-24,Tienda_2,CUST-1859,69,52951.77437800505,CDMX,Estandar,1.6772252004507349,0.6867026400730297
4,CUST-1351,244.98,2025-01-22,Tienda_5,CUST-1351,53,49036.87763947407,Monterrey,Estandar,0.6376378222428893,-0.08501002324247098
5,CUST-1855,253.15,2025-05-23,Tienda_9,CUST-1855,63,35507.22825088377,CDMX,Estandar,0.6807783917301485,0.2595247677880044
6,CUST-1409,58.79,2025-07-11,Tienda_6,CUST-1409,54,68005.65049868255,Monterrey,Estandar,1.0848114966431663,-1.619147177674566
7,CUST-1512,318.09,2025-11-04,Tienda_3,CUST-1512,23,79872.76524998291,Monterrey,Estandar,0.3053918541357837,-0.31424178240748485
8,CUST-1215,41.99,2025-01-24,Tienda_5,CUST-1215,33,36238.76334344514,Monterrey,Estandar,-1.0007091963778154,-1.3233400942384257
9,CUST-1688,226.68,2025-02-24,Tienda_6,CUST-1688,35,66291.8799615528,Monterrey,Estandar,0.3201849888274462,-0.6087604250906175
10,CUST-1157,277.6,2025-03-31,Tienda_4,CUST-1157,19,36419.70796289902,Monterrey,Estandar,-1.3780520445141868,0.12987408654934324
11,CUST-1362,65.43,2025-01-24,Tienda_5,CUST-1362,36,78820.92536241414,CDMX,Estandar,0.5846364102007273,-1.870677109609502
12,CUST-1000,417.69,2025-06-29,Tienda_8,CUST-1000,28,26376.54751332019,CDMX,Premium Joven,-1.1045561882229034,1.2735189120005415
13,CUST-1665,464.62,2025-12-03,Tienda_6,CUST-1665,31,30223.022682247043,CDMX,Estandar,-0.7745640552372143,1.5346849706673225
14,CUST-1131,257.93,2025-12-15,Tienda_6,CUST-1131,33,37246.84393222326,Monterrey,Estandar,-0.7006020522586159,0.07434237587542913
15,CUST-1069,103.65,2025-01-18,Tienda_1,CUST-1069,25,72967.05196720452,Monterrey,Estandar,-0.09208028710540823,-1.589957338914517
16,CUST-1018,192.28,2025-05-01,Tienda_2,CUST-1018,64,24759.489874554376,CDMX,Estandar,0.2974066028001856,0.04860542682160433
17,CUST-1577,382.49,2025-09-26,Tienda_3,CUST-1577,18,27740.66085630282,CDMX,Estandar,-1.584452281685569,0.9574888458216922
18,CUST-1157,335.21,2025-03-15,Tienda_1,CUST-1157,19,36419.70796289902,Monterrey,Estandar,-1.306904705415178,0.5073026701308526
19,CUST-1433,124.11,2025-02-10,Tienda_7,CUST-1433,53,43240.83567779251,CDMX,Estandar,0.2961855249793426,-0.7789332324364042
20,CUST-1759,443.89,2025-01-21,Tienda_5,CUST-1759,55,62584.80960352858,CDMX,Estandar,1.4288293278428374,1.001658799154486
21,CUST-1252,177.12,2025-07-06,Tienda_3,CUST-1252,32,50789.137592044026,Monterrey,Estandar,-0.39954321604556226,-0.6901729055849963
22,CUST-1006,29.1,2025-09-12,Tienda_1,CUST-1006,28,25573.162861107296,Monterrey,Estandar,-1.6110959282665522,-1.2587292868842648
23,CUST-1290,67.98,2025-10-25,Tienda_6,CUST-1290,49,51757.87781132081,CDMX,Estandar,0.31660451094306774,-1.3155451905292483
